Team 1,Team 2,Winning Team,Winning Score,Losing Score,Map Played
Wicked MM,Noble,Wicked MM,16,8,cache
affNity,Nihilum,Nihilum,12,16,dust2
affNity,Liquid,Liquid,11,16,overpass
Noble,WinOut.net,Noble,16,8,overpass
eLevate,Luminosity,Luminosity,8,16,cobblestone
Cloud9,Luminosity,Cloud9,16,5,cache
Vox Eminor,Immunity,Immunity,7,16,inferno
Dire Wolves,Renegades,Renegades,5,16,inferno
Exile5,AVANT,Exile5,16,13,dust2
Luminosity,Nihilum,Luminosity,16,10,overpass
ACE,Nihilum,Nihilum,14,16,cobblestone
ACE,Keyd,Keyd,3,16,inferno
Keyd Stars,Method,Method,16,19,cache
ACE,Method,Method,19,22,dust2
FlipSid3,mousesports,mousesports,1,16,cache
Natus Vincere,EnVyUs,EnVyUs,13,16,dust2
INSHOCK,uX,INSHOCK,16,6,overpass
G2,GPlay,GPlay,9,16,dust2
FlipSid3,HellRaisers,FlipSid3,16,9,cache
Natus Vincere,HellRaisers,Natus Vincere,16,11,overpass
AVANT GARDE,Immunity,Immunity,1,16,inferno
uX,AlienTech,uX,16,4,cache
Exile5,Renegades,Renegades,11,16,inferno
G2,EnVyUs,EnVyUs,8,16,cache
Dire Wolves,Vox,Dire Wolves,16,13,inferno
FlipSid3,GPlay,FlipSid3,16,12,mirage
FlipSid3,EnVyUs,FlipSid3,16,14,inferno
Luminosity,Cloud9,Cloud9,7,16,inferno
CLG,Cloud9,Cloud9,9,16,inferno
G2,Natus,G2,16,8,cobblestone
GPlay,HellRaisers,GPlay,16,14,inferno
FlipSid3,G2,FlipSid3,16,5,mirage
GPlay,Natus,Natus,14,16,inferno
FlipSid3,Natus,Natus,13,16,cobblestone
HellRaisers,EnVyUs,EnVyUs,7,16,cache
G2,HellRaisers,G2,16,6,overpass
GPlay,EnVyUs,GPlay,16,14,dust2
Method,CLG,CLG,15,19,overpass
ACE,Nihilum,ACE,16,14,train
Liquid,Cloud9,Liquid,16,4,cache
CLG,Nihilum,CLG,16,10,train
Liquid,affNity,Liquid,16,7,dust2
Method,Liquid,Liquid,10,16,cobblestone
Luminosity,Cloud9,Cloud9,8,16,inferno
mouseSpaz,Tempo,Tempo,9,16,inferno
mousesports,fnatic,fnatic,7,16,inferno
fnatic,Titan,Titan,15,19,cache
Natus Vincere,PENTA,Natus Vincere,16,3,dust2
Virtus.pro,fnatic,fnatic,2,16,cobblestone
Natus Vincere,Titan,Titan,11,16,overpass
NiP,mousesports,NiP,16,10,overpass
NiP,fnatic,fnatic,4,16,inferno
Tempo Storm,Liquid,Liquid,14,16,cache
Cloud9,eLevate,Cloud9,16,5,dust2
WinOut.net,CLG,CLG,3,16,mirage
mouseSpaz,Luminosity,Luminosity,3,16,dust2
eLevate,affNity,eLevate,16,14,dust2
Liquid,ACE,Liquid,16,2,train
Astral Authority,Enemy,Enemy,11,16,dust2
Nihilum,CLG,Nihilum,16,11,inferno
affNity,Cloud9,Cloud9,8,16,train
CLG,Tempo,Tempo,11,16,cobblestone
Method,Nihilum,Method,16,12,mirage
dignitas,Virtus.pro,Virtus.pro,5,16,mirage
Titan,mousesports,mousesports,13,16,dust2
Natus Vincere,Virtus.pro,Virtus.pro,8,16,cache
EnVyUs,dignitas,EnVyUs,16,2,inferno
Virtus.pro,NiP,NiP,17,21,train
Natus Vincere,fnatic,fnatic,9,16,cobblestone
Keyd Stars,SKDC,SKDC,9,16,mirage
eLevate,Cloud9,Cloud9,10,16,train
Tempo Storm,CLG,CLG,4,16,train
mouseSpaz,eLevate,eLevate,11,16,overpass
LunatiK,affNity,affNity,9,16,cobblestone
mouseSpaz,Cloud9,Cloud9,4,16,cobblestone
Astral Authority,Method,Astral Authority,16,13,cache
Luminosity,CLG,CLG,11,16,mirage
Liquid,Cloud9,Cloud9,4,16,dust2
Method,affNity,affNity,14,16,inferno
Liquid,Cloud9,Liquid,16,12,overpass
TSM,EnVyUs,EnVyUs,13,16,dust2
mousesports,Virtus.pro,Virtus.pro,8,16,inferno
Virtus.pro,mousesports,Virtus.pro,16,14,train
PENTA,EnVyUs,EnVyUs,7,16,overpass
Nihilum,SKDC,SKDC,12,16,cache
Enemy,Method,Enemy,19,16,overpass
LunatiK,eLevate,eLevate,11,16,mirage
Virtus.pro,HellRaisers,Virtus.pro,16,12,inferno
TSM,HellRaisers,TSM,16,12,cobblestone
ACE,Keyd,Keyd,2,16,cache
LunatiK,Liquid,Liquid,12,16,cache
Enemy,Luminosity,Luminosity,19,22,inferno
Keyd Stars,Nihilum,Nihilum,11,16,cache
NiP,dignitas,NiP,16,11,cache
Natus Vincere,NiP,Natus Vincere,16,13,cobblestone
Kinguin,dignitas,dignitas,14,16,mirage
Kinguin,Natus,Natus,9,16,mirage
dignitas,NiP,NiP,9,16,mirage
Titan,FlipSid3,Titan,16,11,cache
Titan,fnatic,fnatic,2,16,mirage
FlipSid3,LGB,FlipSid3,16,5,cache
FlipSid3,Titan,Titan,16,19,cobblestone
LGB,fnatic,fnatic,13,16,cache
Finland,Norway,Norway,14,16,inferno
INSHOCK,nerdRage,INSHOCK,16,10,mirage
Finland,Denmark,Finland,16,9,dust2
Sweden,Finland,Finland,13,16,cache
LDLC Blue,nerdRage,nerdRage,10,16,cache
Method,Luminosity,Luminosity,12,16,train
Luminosity,Keyd,Keyd,27,31,mirage
mouseSpaz,Keyd,Keyd,8,16,train
CLG,ACE,CLG,16,2,mirage
Luminosity,CLG,Luminosity,16,13,inferno
HellRaisers,Natus,HellRaisers,19,16,inferno
Natus Vincere,EnVyUs,EnVyUs,12,16,cache
Titan,fnatic,Titan,16,7,cobblestone
FlipSid3,dignitas,dignitas,1,16,overpass
Natus Vincere,Virtus.pro,Virtus.pro,2,16,cobblestone
HellRaisers,Virtus.pro,Virtus.pro,19,22,mirage
EnVyUs,NiP,NiP,3,16,cobblestone
FlipSid3,Natus,Natus,3,16,overpass
Nihilum,Cloud9,Cloud9,12,16,cache
mouseSpaz,CLG,CLG,4,16,cache
Luminosity,eLevate,Luminosity,26,22,cobblestone
Keyd Stars,Cloud9,Keyd Stars,16,6,overpass
Nihilum,Cloud9,Cloud9,11,16,inferno
ACE,Tempo,Tempo,9,16,overpass
HellRaisers,TSM,TSM,16,19,mirage
EnVyUs,NiP,EnVyUs,16,12,train
HellRaisers,Titan,HellRaisers,16,10,inferno
TSM,Virtus.pro,TSM,16,10,overpass
fnatic,HellRaisers,HellRaisers,7,16,overpass
EnVyUs,FlipSid3,EnVyUs,16,2,cache
Natus Vincere,HellRaisers,HellRaisers,10,16,cobblestone
Titan,Virtus.pro,Virtus.pro,7,16,cache
NiP,TSM,TSM,7,16,mirage
FlipSid3,EnVyUs,EnVyUs,4,16,dust2
Natus Vincere,fnatic,fnatic,5,16,train
affNity,Keyd,Keyd,12,16,cobblestone
eLevate,Liquid,eLevate,16,7,train
Tempo Storm,Keyd,Tempo Storm,16,2,dust2
eLevate,Tempo,eLevate,16,7,train
eLevate,Liquid,eLevate,16,14,inferno
EnVyUs,Titan,EnVyUs,21,15,dust2
PENTA,HellRaisers,HellRaisers,10,16,cache
NiP,TSM,TSM,4,16,cache
HellRaisers,PENTA,HellRaisers,16,14,mirage
dignitas,HellRaisers,HellRaisers,5,16,cache
FlipSid3,NiP,FlipSid3,16,1,train
Virtus.pro,Natus,Virtus.pro,16,6,dust2
fnatic,NiP,fnatic,16,13,train
Liquid,mouseSpaz,Liquid,16,9,mirage
Liquid,Luminosity,Luminosity,6,16,cobblestone
eLevate,CLG,CLG,21,25,dust2
ACE,affNity,affNity,2,16,cache
eLevate,Nihilum,Nihilum,11,16,cache
fnatic,Titan,fnatic,16,1,train
FlipSid3,TSM,TSM,10,16,train
fnatic,FlipSid3,fnatic,16,6,dust2
Virtus.pro,FlipSid3,Virtus.pro,16,10,cobblestone
LDLC Blue,dignitas,dignitas,4,16,overpass
dignitas,NiP,NiP,10,16,cobblestone
LDLC Blue,Epsilon,Epsilon,13,16,inferno
USSR,TEAMSWAGYOLO,TEAMSWAGYOLO,14,16,dust2
TEAMSWAGYOLO,Phenomenon,Phenomenon,14,16,cobblestone
USSR,Phenomenon,Phenomenon,6,16,cache
Bovines,Skyred,Skyred,10,16,inferno
nerdRage,Epsilon,nerdRage,16,9,inferno
Denmark,Norway,Norway,11,16,inferno
Finland,Denmark,Denmark,12,16,mirage
Finland,Sweden,Finland,16,11,mirage
ESC,Epsilon,Epsilon,9,16,mirage
nxl,MVP.karnal,nxl,16,6,dust2
Devious,Bovines,Bovines,7,16,inferno
Skyred,myRevenge,Skyred,16,11,inferno
MVP.karnal,DeToNator,MVP.karnal,16,9,inferno
myKPV,k1ck,myKPV,19,16,dust2
G2,x6tence,G2,16,12,cache
Tempo Storm,CLG,CLG,13,16,overpass
Method,eLevate,eLevate,2,16,cobblestone
CLG,eLevate,CLG,16,14,train
Method,Tempo,Tempo,5,16,dust2
Luminosity,affNity,Luminosity,16,5,dust2
Awsomniac,k1ck,Awsomniac,16,13,overpass
Titan,EnVyUs,EnVyUs,1,16,cobblestone
Titan,FlipSid3,Titan,16,5,mirage
Virtus.pro,TSM,Virtus.pro,16,4,overpass
Epsilon,dignitas,dignitas,13,16,mirage
uX,k1ck,uX,16,8,overpass
TSM,EnVyUs,EnVyUs,8,16,cache
HellRaisers,FlipSid3,HellRaisers,16,7,train
TSM,Natus,TSM,16,14,inferno
FlipSid3,TSM,TSM,12,16,inferno
EnVyUs,HellRaisers,EnVyUs,16,3,train
CLG,Cloud9,Cloud9,12,16,train
Cloud9,Nihilum,Cloud9,21,19,inferno
Tempo Storm,Nihilum,Nihilum,11,16,cobblestone
Keyd Stars,Liquid,Keyd Stars,22,19,dust2
Liquid,eLevate,eLevate,9,16,cache
Method,Cloud9,Cloud9,12,16,train
Cloud9,CLG,Cloud9,16,10,dust2
Titan,Natus,Natus,16,19,overpass
PENTA,Titan,Titan,14,16,train
Evolution,ACES,ACES,13,16,cache
ACES,New,ACES,19,16,mirage
EnVyUs,Titan,EnVyUs,16,13,mirage
New Era,Evolution,Evolution,8,16,inferno
ACE,mouseSpaz,mouseSpaz,5,16,train
Liquid,eLevate,Liquid,16,4,overpass
ACE,Cloud9,Cloud9,3,16,cobblestone
Tempo Storm,Cloud9,Tempo Storm,16,13,inferno
mouseSpaz,Nihilum,Nihilum,13,16,dust2
Nihilum,Keyd,Nihilum,16,8,train
NiP,Titan,NiP,16,14,dust2
Natus Vincere,dignitas,Natus Vincere,16,7,train
fnatic,NiP,NiP,11,16,dust2
HellRaisers,fnatic,fnatic,4,16,overpass
Natus Vincere,TSM,TSM,9,16,train
affNity,eLevate,affNity,16,10,inferno
eLevate,Keyd,Keyd,11,16,cache
CLG,Cloud9,Cloud9,13,16,cache
TSM,dignitas,TSM,16,8,train
dignitas,PENTA,dignitas,16,11,dust2
Titan,TSM,Titan,16,1,dust2
Virtus.pro,fnatic,fnatic,13,16,cobblestone
dignitas,EnVyUs,EnVyUs,8,16,inferno
Virtus.pro,EnVyUs,EnVyUs,11,16,dust2
Dire Wolves,AVANT,Dire Wolves,16,6,cache
Exile5,Immunity,Immunity,3,16,mirage
Vox Eminor,Renegades,Renegades,9,16,cache
CLG,Liquid,Liquid,12,16,train
Liquid,CLG,CLG,10,16,inferno
Tempo Storm,Luminosity,Luminosity,6,16,train
Luminosity,Tempo,Luminosity,16,9,cache
EnVyUs,fnatic,EnVyUs,16,5,train
Fragbite.se Staff,SLTV,Fragbite.se Staff,19,17,mirage
Game Show Staff,1GAME.ua,Game Show Staff,16,12,dust2
EnVyUs,Natus,Natus,14,16,overpass
XPC Staff,Game,Game,5,16,inferno
TSM,EnVyUs,TSM,19,16,inferno
Fragbite.se Staff,E-frag.net,Fragbite.se Staff,16,9,dust2
Fragbite.se Staff,RGN.tv,Fragbite.se Staff,16,8,dust2
E-frag.net Staff,Goodgame.ru,E-frag.net Staff,16,10,inferno
1GAME.ua Staff,SLTV.selectah,SLTV.selectah,6,16,inferno
Fnatic Staff,XPC,XPC,7,16,cache
Freaks4U Staff,Game,Game,11,16,mirage
SLTV Staff,HLTV.org,HLTV.org,13,16,cache
Fragbite.se Staff,1GAME.ua,1GAME.ua,12,16,mirage
E-frag.net Staff,SLTV.selectah,SLTV.selectah,5,16,mirage
/r/Globaloffensive,Fnatic,Fnatic,5,16,inferno
Hungarian Esport TV,Game,Game,8,16,dust2
Goodgame.ru Staff,Gaming.dk,Goodgame.ru Staff,16,12,cache
RGN.tv Staff,99damage.de,RGN.tv Staff,16,3,mirage
/r/Globaloffensive,Fragbite.se,Fragbite.se,7,16,inferno
SLTV Staff,XPC,SLTV Staff,16,10,cache
1GAME.ua Staff,Fnatic,1GAME.ua Staff,16,11,cache
E-frag.net Staff,Hungarian,E-frag.net Staff,16,4,cache
HLTV.org Staff,Freaks4U,HLTV.org Staff,16,5,dust2
Game Show Staff,SLTV.selectah,SLTV.selectah,4,16,cobblestone
Goodgame.ru Staff,HLTV.org,HLTV.org,5,16,cache
XPC Staff,99damage.de,XPC Staff,16,4,overpass
Freaks4U Staff,Gaming.dk,Freaks4U Staff,16,6,mirage
KILLERFISH,nerdRage,KILLERFISH,19,16,cache
Norway,Denmark,Norway,16,11,inferno
KILLERFISH,ESC,KILLERFISH,16,14,mirage
Finland,Norway,Norway,7,16,cache
Finland,Sweden,Finland,16,14,mirage
Method,affNity,affNity,12,16,cache
Method,Keyd,Keyd,11,16,inferno
mouseSpaz,Keyd,Keyd,5,16,overpass
ACE,eLevate,eLevate,7,16,dust2
FlipSid3,dignitas,dignitas,6,16,dust2
Virtus.pro,Titan,Virtus.pro,16,10,overpass
TSM,mousesports,mousesports,13,16,cobblestone
mousesports,Natus,Natus,4,16,train
Luminosity,Nihilum,Luminosity,16,12,overpass
Nihilum,Cloud9,Cloud9,12,16,inferno
mouseSpaz,Tempo,Tempo,12,16,inferno
affNity,Cloud9,Cloud9,9,16,overpass
PENTA,SK,PENTA,16,5,dust2
Natus Vincere,mousesports,Natus Vincere,16,14,cache
Titan,FlipSid3,Titan,16,6,inferno
Vination,k1ck,Vination,19,15,mirage
LDLC Blue,ENCORE,LDLC Blue,16,11,dust2
HellRaisers,mousesports,HellRaisers,16,9,dust2
Virtus.pro,dignitas,dignitas,12,16,mirage
NiP,TSM,TSM,3,16,overpass
affNity,eLevate,eLevate,17,19,train
mouseSpaz,Nihilum,Nihilum,13,16,cache
Method,Cloud9,Cloud9,3,16,train
FlipSid3,PENTA,PENTA,10,16,overpass
Epsilon,ENCORE,Epsilon,16,12,mirage
Acer,CPLAY,Acer,16,13,cache
PENTA,NiP,NiP,8,16,train
dignitas,ENCORE,dignitas,16,7,cache
mousesports,NiP,NiP,10,16,mirage
Acer,LDLC,LDLC,12,16,cobblestone
mousesports,dignitas,dignitas,9,16,overpass
PENTA,PiTER,PiTER,6,16,mirage
dignitas,TSM,TSM,13,16,cache
Vination,Temp.no,Vination,19,15,mirage
LGB,Fraternitas,Fraternitas,1,16,mirage
mousesports,PENTA,mousesports,16,2,cobblestone
FlipSid3,Virtus.pro,Virtus.pro,14,16,mirage
x6tence,1337,1337,12,16,train
1337,AlienTech.Black,1337,16,6,cache
NiP,PENTA,NiP,16,7,overpass
Liquid,ACE,Liquid,16,6,cache
ACE,Luminosity,Luminosity,5,16,inferno
Liquid,Keyd,Liquid,16,13,mirage
Tempo Storm,Method,Tempo Storm,16,14,mirage
myKPV,CPLAY,myKPV,16,5,cache
embrace,Kinguin,embrace,16,1,cache
Phenomenon,myKPV,myKPV,14,16,cobblestone
Natus Vincere,dignitas,Natus Vincere,16,12,cobblestone
TRICKED,Kinguin,Kinguin,10,16,cache
RB,CPLAY,CPLAY,9,16,inferno
INFINITY,embrace,embrace,19,21,cobblestone
Goodgame.ru Staff,FlipSid3,Goodgame.ru Staff,16,5,inferno
NiP,FlipSid3,NiP,16,6,inferno
nerdRage,EnVyUs,EnVyUs,13,16,inferno
Goodgame.ru Staff,SK,Goodgame.ru Staff,16,9,cache
FlipSid3 Staff,SLTV.selectah,SLTV.selectah,1,16,mirage
FlipSid3,NiP,NiP,11,16,train
LGB,LDLC,LGB,16,12,dust2
Goodgame.ru Staff,FlipSid3,FlipSid3,14,16,mirage
NiP,Natus,NiP,16,14,mirage
Acer,LGB,Acer,16,10,mirage
SLTV Staff,NiP,SLTV Staff,16,12,cache
Natus Vincere,fnatic,fnatic,12,16,mirage
SLTV.selectah Staff,SK,SLTV.selectah Staff,16,5,mirage
Fnatic Staff,SLTV,Fnatic Staff,16,11,cache
HellRaisers.pro Staff,NiP,NiP,4,16,inferno
fnatic,FlipSid3,fnatic,16,6,inferno
Fraglider.pt Staff,E-frag.net,E-frag.net,9,16,cache
Fnatic Staff,HellRaisers.pro,Fnatic Staff,16,2,mirage
Fraglider.pt Staff,Gaming.dk,Gaming.dk,14,16,cache
Trasgo.net Staff,E-frag.net,E-frag.net,8,16,dust2
NiP Staff,SLTV,SLTV,7,16,mirage
E-frag.net Staff,Fraglider.pt,Fraglider.pt,5,16,inferno
Trasgo.net Staff,Gaming.dk,Gaming.dk,2,16,mirage
Freaks4U Staff,Hungarian,Hungarian,4,16,cache
mouseSpaz,affNity,affNity,6,16,mirage
affNity,mouseSpaz,affNity,16,0,cobblestone
Cloud9,eLevate,eLevate,8,16,mirage
eLevate,Cloud9,Cloud9,17,19,cobblestone
Acer,ISKOLD,ISKOLD,13,16,mirage
INSHOCK,VingeN,VingeN,3,16,inferno
AliGon,ISKOLD,ISKOLD,23,26,inferno
NiP,HellRaisers,HellRaisers,16,19,dust2
Kinguin,Acer,Acer,9,16,dust2
VingeN,TRICKED,VingeN,16,10,cache
Phenomenon,INSHOCK,INSHOCK,17,21,mirage
NiP,EnVyUs,NiP,16,5,cobblestone
Game Show Staff,Skillz.lv,Skillz.lv,18,22,dust2
Skillz.lv Staff,HLTV.org,HLTV.org,14,16,cache
Game Show Staff,Na`Vi,Game Show Staff,16,8,cache
Epsilon,LDLC,Epsilon,16,4,train
Game Show Staff,Skillz.lv,Skillz.lv,14,16,mirage
Na`Vi Staff,HLTV.org,HLTV.org,7,16,cache
Arenazero.net Staff,/r/Globaloffensive,/r/Globaloffensive,11,16,cache
ACES,USSR,USSR,12,16,inferno
99damage.de Staff,/r/Globaloffensive,99damage.de Staff,16,5,overpass
FACEIT Staff,XPC,XPC,12,16,cache
Arenazero.net Staff,Hitbox.tv,Arenazero.net Staff,16,7,cache
Hitbox.tv Staff,/r/Globaloffensive,/r/Globaloffensive,9,16,overpass
Arenazero.net Staff,99damage.de,99damage.de,9,16,mirage
KILLERFISH,Epsilon,Epsilon,11,16,mirage
Vakarm.net Staff,1GAME.ua,1GAME.ua,10,16,cache
Vakarm.net Staff,Virtus.pro,Vakarm.net Staff,16,11,cache
RGN.tv Staff,1GAME.ua,RGN.tv Staff,16,7,cache
Vakarm.net Staff,RGN.tv,RGN.tv,4,16,dust2
1GAME.ua Staff,Virtus.pro,1GAME.ua Staff,16,4,dust2
Norway,Denmark,Denmark,6,16,inferno
Sweden,Norway,Norway,8,16,mirage
Finland,Sweden,Sweden,5,16,cache
Keyd Stars,CLG,Keyd Stars,16,12,cobblestone
Cloud9,Luminosity,Cloud9,16,12,mirage
Nihilum,Tempo,Nihilum,16,12,cobblestone
ACE,Nihilum,Nihilum,9,16,mirage
Virtus.pro,G2,Virtus.pro,16,13,cobblestone
LDLC Blue,Epsilon,LDLC Blue,16,13,dust2
G2,Virtus.pro,Virtus.pro,14,16,mirage
INFINITY,k1ck,k1ck,8,16,train
Orbit,PiTER,PiTER,11,16,cobblestone
PENTA,Property,PENTA,16,14,cache
Epsilon,dignitas,Epsilon,16,14,inferno
Property,PENTA,Property,16,7,inferno
Space Soldiers,LGB,LGB,3,16,cache
HellRaisers,NiP,HellRaisers,16,13,cache
Liquid,affNity,affNity,13,16,inferno
affNity,Tempo,affNity,16,9,mirage
Keyd Stars,Cloud9,Cloud9,12,16,dust2
G2,1337,G2,16,11,cache
TSM,fnatic,TSM,19,15,mirage
Space Soldiers,LDLC,Space Soldiers,16,8,dust2
uX,CPLAY,CPLAY,9,16,train
TSM,PENTA,TSM,16,8,mirage
PENTA,Virtus.pro,Virtus.pro,10,16,inferno
Fragbite.se Staff,FACEIT,Fragbite.se Staff,16,9,mirage
PENTA,GPlay,GPlay,11,16,mirage
Clan-Mystik Staff,XPC,XPC,10,16,inferno
GPlay,PiTER,GPlay,16,10,cache
Fragbite.se Staff,Clan-Mystik,Fragbite.se Staff,16,4,inferno
FACEIT Staff,XPC,FACEIT Staff,16,9,mirage
Method,Liquid,Liquid,2,16,cobblestone
Method,CLG,CLG,8,16,inferno
Liquid,Nihilum,Liquid,16,4,train
Keyd Stars,Nihilum,Keyd Stars,16,8,inferno
mousesports,Titan,mousesports,16,8,train
HellRaisers,dignitas,dignitas,13,16,train
Epsilon,k1ck,k1ck,7,16,cobblestone
mousesports,EnVyUs,mousesports,16,10,mirage
GPlay,SK,SK,17,19,dust2
PENTA,fnatic,fnatic,3,16,train
CLG,eLevate,CLG,16,5,mirage
affNity,ACE,ACE,10,16,cobblestone
mouseSpaz,Luminosity,mouseSpaz,19,17,cobblestone
mouseSpaz,ACE,ACE,3,16,inferno
PENTA,dignitas,dignitas,14,16,mirage
Acer,Space,Space,9,16,cache
HellRaisers,FlipSid3,HellRaisers,16,11,cobblestone
LDLC Blue,dignitas,dignitas,13,16,inferno
FlipSid3,mousesports,FlipSid3,16,10,overpass
TSM,FlipSid3,TSM,16,1,cache
PiTER,SK,PiTER,16,14,train
Norway,Denmark,Denmark,13,16,dust2
Norway,Sweden,Norway,16,3,cache
Norway,Finland,Norway,21,15,inferno
CPLAY,k1ck,CPLAY,16,14,train
LDLC Blue,LDLC,LDLC,5,16,inferno
affNity,Keyd,Keyd,8,16,cache
Luminosity,Keyd,Keyd,15,19,train
affNity,Nihilum,Nihilum,7,16,dust2
Luminosity,eLevate,Luminosity,22,19,inferno
Virtus.pro,EnVyUs,EnVyUs,15,19,train
Natus Vincere,FlipSid3,Natus Vincere,16,5,inferno
KILLERFISH,LDLC,LDLC,9,16,inferno
Titan,PENTA,Titan,16,5,cobblestone
Titan,HellRaisers,Titan,16,14,inferno
Natus Vincere,Virtus.pro,Natus Vincere,16,14,cobblestone
Virtus.pro,Natus,Virtus.pro,16,11,mirage
ACE,Keyd,Keyd,11,16,inferno
ACE,eLevate,eLevate,1,16,train
Tempo Storm,Keyd,Keyd,8,16,overpass
Method,Nihilum,Nihilum,12,16,overpass
Natus Vincere,G2,Natus Vincere,16,7,overpass
Titan,TSM,Titan,16,12,inferno
G2,Natus,G2,16,13,mirage
fnatic,TSM,fnatic,16,6,overpass
Property,CPH,CPH,9,16,dust2
Natus Vincere,NiP,Natus Vincere,16,14,inferno
Virtus.pro,TSM,Virtus.pro,16,9,dust2
CPH Wolves,Property,Property,5,16,inferno
CLG,Nihilum,Nihilum,14,16,cache
eLevate,Nihilum,Nihilum,13,16,inferno
affNity,Tempo,Tempo,4,16,train
mouseSpaz,CLG,CLG,9,16,train
Publiclir.se,LDLC,LDLC,13,16,inferno
TSM,mousesports,TSM,16,10,cobblestone
UNLEASHED,LDLC,LDLC,10,16,cobblestone
PENTA,TSM,TSM,3,16,inferno
NiP,Virtus.pro,Virtus.pro,11,16,train
GIANT5,Rock,Rock,12,16,dust2
neXtPlease!,Rock,Rock,6,16,cache
neXtPlease!,HEADSHOTBG,HEADSHOTBG,4,16,overpass
CPH Wolves,Natus,CPH Wolves,21,19,overpass
Natus Vincere,CPH,Natus Vincere,16,9,cobblestone
Titan,HellRaisers,HellRaisers,10,16,train
EnVyUs,Titan,EnVyUs,16,9,cache
LDLC White,HellRaisers,HellRaisers,14,16,cache
LDLC White,EnVyUs,EnVyUs,22,25,inferno
HellRaisers,Titan,Titan,3,16,inferno
dignitas,FlipSid3,dignitas,16,4,mirage
fnatic,dignitas,fnatic,16,12,cache
Awsomniac,FlipSid3,FlipSid3,6,16,cobblestone
Awsomniac,fnatic,fnatic,4,16,mirage
FlipSid3,dignitas,dignitas,17,19,mirage
Awsomniac,LDLC,LDLC,14,16,cobblestone
Awsomniac,LDLC,Awsomniac,16,13,overpass
Awsomniac,beGenius,Awsomniac,16,10,inferno
beGenius,Immunity,beGenius,16,12,mirage
GIANT5,RB,GIANT5,15,15,dust2
LDLC Blue,LDLC,LDLC,8,16,cobblestone
TRICKED,RB,RB,11,16,mirage
beGenius,LDLC,LDLC,9,16,cache
TRICKED,neXtPlease!,TRICKED,16,13,inferno
mouseSpaz,eLevate,eLevate,13,16,overpass
affNity,Luminosity,Luminosity,9,16,overpass
Liquid,Tempo,Liquid,16,7,inferno
HellRaisers,mousesports,mousesports,12,16,dust2
Virtus.pro,PENTA,Virtus.pro,16,9,inferno
NiP,Virtus.pro,Virtus.pro,3,16,cache
LunatiK,Mostly,LunatiK,16,10,mirage
Luminosity,CLG,CLG,7,16,dust2
Luminosity,Liquid,Luminosity,16,8,cache
Tempo Storm,eLevate,eLevate,5,16,cache
Method,eLevate,eLevate,12,16,dust2
NiP,dignitas,NiP,16,13,inferno
fnatic,EnVyUs,fnatic,16,5,cache
mousesports,fnatic,fnatic,6,16,inferno
Natus Vincere,HellRaisers,Natus Vincere,16,13,dust2
HellRaisers,Natus,Natus,6,16,overpass
Liquid,Cloud9,Cloud9,13,16,overpass
affNity,CLG,CLG,9,16,inferno
mouseSpaz,Liquid,Liquid,12,16,dust2
ACE,Tempo,Tempo,6,16,dust2
Rasta,Panthers,Rasta,16,8,season
HellRaisers,FlipSid3,HellRaisers,16,14,overpass
mousesports,dignitas,dignitas,6,16,inferno
dignitas,fnatic,fnatic,6,16,dust2
FlipSid3,HellRaisers,HellRaisers,13,16,nuke
Denmark,Sweden,Denmark,16,6,dust2
Norway,Denmark,Denmark,13,16,mirage
mouseSpaz,Method,Method,8,16,cache
mouseSpaz,Cloud9,Cloud9,7,16,inferno
ACE,CLG,CLG,1,16,overpass
Method,Luminosity,Luminosity,7,16,inferno
Panthers,ESC,Panthers,16,11,inferno
EnVyUs,HellRaisers,EnVyUs,16,14,overpass
LDLC Blue,CPLAY,LDLC Blue,16,13,cobblestone
GPlay,HEADSHOTBG,GPlay,16,5,overpass
RB,HEADSHOTBG,RB,16,11,inferno
Space Soldiers,Reason,Space Soldiers,16,9,mirage
EnVyUs,PENTA,EnVyUs,16,6,inferno
GIANT5,HEADSHOTBG,HEADSHOTBG,5,16,inferno
PENTA,mousesports,PENTA,16,10,cache
neXtPlease!,GIANT5,neXtPlease!,16,13,inferno
dignitas,Titan,dignitas,16,8,cache
dignitas,CPH,dignitas,16,8,mirage
CPH Wolves,dignitas,CPH Wolves,16,5,cobblestone
vVv,mouseSpaz,vVv,16,1,mirage
FlipSid3,mousesports,mousesports,4,16,mirage
myKPV,TRICKED,myKPV,16,13,mirage
mousesports,FlipSid3,FlipSid3,4,16,nuke
FlipSid3,CPH,FlipSid3,21,17,cobblestone
CPH Wolves,FlipSid3,FlipSid3,6,16,mirage
dignitas,Virtus.pro,dignitas,16,11,mirage
Virtus.pro,dignitas,Virtus.pro,16,7,cache
G2,mousesports,G2,16,12,mirage
mousesports,G2,mousesports,16,14,cache
ENTiTY,Rock,Rock,12,16,dust2
Rock,RB,Rock,16,3,cache
GPlay,RB,GPlay,16,6,train
TRICKED,GPlay,GPlay,12,16,inferno
Atlantis,k1ck,k1ck,10,16,cache
KILLERFISH,HEADSHOTBG,KILLERFISH,16,10,mirage
ENTiTY,GPlay,GPlay,9,16,dust2
Natus Vincere,mousesports,Natus Vincere,16,4,mirage
mousesports,Natus,mousesports,16,14,dust2
LGB,Virtus.pro,LGB,16,12,overpass
dignitas,mousesports,dignitas,16,14,cache
